mAP: 0.2670                                                                                                                                                                                                    
mATE: 0.7850
mASE: 0.2908
mAOE: 0.7397
mAVE: 0.9299
mAAE: 0.2502
NDS: 0.3339
Eval time: 87.5s

Per-class results:
Object Class            AP      ATE     ASE     AOE     AVE     AAE   
car                     0.509   0.542   0.161   0.128   0.985   0.225 
truck                   0.199   0.781   0.238   0.207   0.913   0.215 
bus                     0.265   0.838   0.216   0.229   2.005   0.372 
trailer                 0.070   1.147   0.247   0.491   0.850   0.124 
construction_vehicle    0.027   1.086   0.526   1.535   0.113   0.318 
pedestrian              0.317   0.800   0.307   1.385   0.861   0.463 
motorcycle              0.212   0.760   0.286   1.037   1.281   0.241 
bicycle                 0.181   0.729   0.277   1.495   0.430   0.044 
traffic_cone            0.477   0.580   0.341   nan     nan     nan   
barrier                 0.412   0.586   0.310   0.151   nan     nan   
